,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
93,1.547368421,0.75,0.49122807,2.452830189,2.475247525,0.633663366,1,1,1.467889908,2.803738318
94,1.536082474,0.743119266,0.486956522,2.448598131,2.475247525,0.633663366,1,1,1.481818182,2.805555556
95,1.545454545,0.747747748,0.486956522,2.468468468,2.475247525,0.633663366,1,1,1.481818182,2.809090909
96,1.545454545,0.739130435,0.491525424,2.464285714,2.475247525,0.633663366,1,1,1.481818182,2.809090909
97,1.545454545,0.739130435,0.491525424,2.464285714,2.485436893,0.633663366,1,1,1.481818182,2.815789474
98,1.545454545,0.739130435,0.483333333,2.456140351,2.485436893,0.633663366,1,1,1.481818182,2.815789474
99,1.55,0.739130435,0.483333333,2.474576271,2.485436893,0.633663366,1,1,1.481818182,2.818965517
100,1.554455446,0.732758621,0.479338843,2.470588235,2.480769231,0.62745098,1,1,1.481818182,2.818965517
101,1.558823529,0.726495726,0.471544715,2.462809917,2.490566038,0.62745098,1,1,1.481818182,2.818965517
102,1.563106796,0.725,0.464,2.464,2.490566038,0.62745098,1,1,1.468468468,2.811965812
103,1.557692308,0.728,0.464,2.464,2.490740741,0.644230769,1,1,1.468468468,2.811965812
104,1.58490566,0.734375,0.464,2.472440945,2.5,0.644230769,1,1,1.495575221,2.81512605
105,1.574074074,0.738461538,0.456692913,2.465116279,2.5,0.644230769,1,1,1.495575221,2.81512605
106,1.574074074,0.738461538,0.465116279,2.465116279,2.508928571,0.644230769,1,1,1.478632479,2.81512605
107,1.574074074,0.738461538,0.465116279,2.465116279,2.504424779,0.638095238,1,1,1.478632479,2.81512605
108,1.571428571,0.738461538,0.461538462,2.461538462,2.5,0.632075472,1,1,1.466101695,2.808333333
109,1.571428571,0.727272727,0.454545455,2.454545455,2.495652174,0.626168224,1,1,1.459016393,2.803278689
110,1.571428571,0.727272727,0.45112782,2.45112782,2.504273504,0.633027523,1,1,1.447154472,2.796747967
111,1.596491228,0.727272727,0.447761194,2.455882353,2.508333333,0.627272727,1,1,1.447154472,2.796747967
112,1.591304348,0.727272727,0.447761194,2.463768116,2.512195122,0.621621622,1,1,1.472,2.796747967
113,1.584745763,0.729323308,0.444444444,2.460431655,2.512195122,0.621621622,1,1,1.464566929,2.803149606
114,1.575,0.723880597,0.441176471,2.457142857,2.52,0.621621622,1,1,1.464566929,2.803149606
115,1.56557377,0.727941176,0.441176471,2.464788732,2.523809524,0.642857143,1,1,1.453125,2.796875
116,1.56557377,0.727941176,0.437956204,2.461538462,2.527131783,0.637168142,1,1,1.446969697,2.795454545
117,1.56557377,0.727941176,0.437956204,2.468965517,2.523076923,0.631578947,1,1,1.436090226,2.789473684
118,1.56097561,0.727941176,0.446043165,2.476190476,2.526717557,0.652173913,1,1,1.42962963,2.789473684
119,1.56097561,0.729927007,0.453900709,2.476190476,2.522727273,0.646551724,1,1,1.419117647,2.78358209
120,1.587301587,0.729927007,0.453900709,2.483221477,2.522727273,0.646551724,1,1,1.408759124,2.777777778
121,1.6,0.724637681,0.468965517,2.483221477,2.522727273,0.646551724,1,1,1.408759124,2.787234043
122,1.6,0.728571429,0.468965517,2.483221477,2.525925926,0.641025641,1,1,1.398550725,2.781690141
123,1.6,0.728571429,0.468965517,2.483221477,2.525925926,0.641025641,1,1,1.398550725,2.781690141
124,1.595419847,0.728571429,0.468965517,2.483221477,2.529411765,0.661016949,1,1,1.410071942,2.786206897
125,1.595419847,0.730496454,0.468965517,2.483221477,2.525547445,0.655462185,1,1,1.4,2.780821918
126,1.595419847,0.730496454,0.465753425,2.486842105,2.517985612,0.644628099,1,1,1.433566434,2.782312925
127,1.598484848,0.730496454,0.465753425,2.486842105,2.521428571,0.663934426,1,1,1.433566434,2.782312925
128,1.593984962,0.725352113,0.465753425,2.486842105,2.521428571,0.663934426,1,1,1.444444444,2.783783784
129,1.580882353,0.731034483,0.462585034,2.483660131,2.517730496,0.658536585,1,1,1.434482759,2.781456954
130,1.572463768,0.732876712,0.462585034,2.483660131,2.517730496,0.658536585,1,1,1.445205479,2.782894737
131,1.572463768,0.736486486,0.462585034,2.496815287,2.51048951,0.648,1,1,1.445205479,2.788461538
132,1.568345324,0.74,0.469798658,2.496815287,2.503448276,0.637795276,1,1,1.42,2.778481013
133,1.563380282,0.741721854,0.469798658,2.503144654,2.496598639,0.627906977,1,1,1.42,2.78125
134,1.555555556,0.736842105,0.469798658,2.503144654,2.509933775,0.627906977,1,1,1.42,2.78125
135,1.555555556,0.736842105,0.469798658,2.50931677,2.509933775,0.633587786,1,1,1.430463576,2.782608696
136,1.547297297,0.736842105,0.469798658,2.50931677,2.503267974,0.62406015,1,1,1.421052632,2.780487805
137,1.55033557,0.733766234,0.469798658,2.50931677,2.512820513,0.647058824,1,1,1.421052632,2.780487805
138,1.55033557,0.729032258,0.469798658,2.50931677,2.518987342,0.647058824,1,1,1.411764706,2.775757576
139,1.565789474,0.732484076,0.469798658,2.50931677,2.518987342,0.647058824,1,1,1.432258065,2.778443114
140,1.562091503,0.734177215,0.469798658,2.50931677,2.518987342,0.652173913,1,1,1.432258065,2.778443114
141,1.558441558,0.735849057,0.466666667,2.512195122,2.5125,0.642857143,1,1,1.426751592,2.778443114
142,1.558441558,0.740740741,0.466666667,2.512195122,2.5125,0.642857143,1,1,1.426751592,2.778443114
143,1.558441558,0.746987952,0.470588235,2.509090909,2.5125,0.642857143,1,1,1.417721519,2.773809524
144,1.576923077,0.75,0.477419355,2.51497006,2.518518519,0.647887324,1,1,1.422360248,2.775147929
145,1.573248408,0.75,0.477419355,2.51497006,2.518518519,0.647887324,1,1,1.441717791,2.775147929
146,1.569620253,0.75147929,0.477419355,2.526315789,2.518518519,0.647887324,1,1,1.441717791,2.775147929
147,1.572327044,0.752941176,0.477419355,2.526315789,2.521472393,0.664335664,1,1,1.441717791,2.775147929
148,1.575,0.748538012,0.477419355,2.526315789,2.532934132,0.696551724,1,1,1.441717791,2.775147929
149,1.567901235,0.744186047,0.477419355,2.526315789,2.532934132,0.696551724,1,1,1.432926829,2.770588235
150,1.581818182,0.744186047,0.47133758,2.520231214,2.535294118,0.691780822,1,1,1.442424242,2.771929825
151,1.595238095,0.74566474,0.477987421,2.525714286,2.532163743,0.68707483,1,1,1.446428571,2.773255814
152,1.595238095,0.747126437,0.477987421,2.531073446,2.529069767,0.682432432,1,1,1.446428571,2.773255814
153,1.595238095,0.747126437,0.475,2.528089888,2.534090909,0.693333333,1,1,1.437869822,2.768786127
154,1.588235294,0.747126437,0.469135802,2.522222222,2.531073446,0.688741722,1,1,1.429411765,2.764367816
155,1.584795322,0.747126437,0.472727273,2.519337017,2.528089888,0.684210526,1,1,1.438596491,2.765714286
156,1.589595376,0.748571429,0.479041916,2.519337017,2.528089888,0.684210526,1,1,1.438596491,2.765714286
157,1.590909091,0.74301676,0.473372781,2.513661202,2.533333333,0.684210526,1,1,1.442528736,2.767045455
158,1.593220339,0.736263736,0.473372781,2.513661202,2.533333333,0.684210526,1,1,1.442528736,2.769662921
159,1.593220339,0.732240437,0.476744186,2.510869565,2.532967033,0.694805195,1,1,1.434285714,2.765363128
160,1.586592179,0.732240437,0.476744186,2.510869565,2.538043478,0.694805195,1,1,1.443181818,2.766666667
161,1.595628415,0.732240437,0.476744186,2.510869565,2.543010753,0.698717949,1,1,1.446927374,2.767955801
162,1.589189189,0.735135135,0.473988439,2.513368984,2.537234043,0.689873418,1,1,1.44198895,2.767955801
163,1.591397849,0.737967914,0.468571429,2.507936508,2.537234043,0.69375,1,1,1.43715847,2.767955801
164,1.593582888,0.734042553,0.465909091,2.510416667,2.537234043,0.701219512,1,1,1.43315508,2.765027322
165,1.584210526,0.73015873,0.465909091,2.510416667,2.544502618,0.715151515,1,1,1.425531915,2.760869565
166,1.584210526,0.734375,0.465909091,2.510416667,2.546391753,0.710843373,1,1,1.4375,2.76344086
167,1.584210526,0.737113402,0.465909091,2.510416667,2.545454545,0.702380952,1,1,1.4375,2.76344086
168,1.584210526,0.742424242,0.465909091,2.510416667,2.545454545,0.702380952,1,1,1.430051813,2.759358289
169,1.575129534,0.742424242,0.465909091,2.515463918,2.545454545,0.702380952,1,1,1.430051813,2.761904762
170,1.572164948,0.748768473,0.471910112,2.515463918,2.545454545,0.705882353,1,1,1.430051813,2.761904762
171,1.566326531,0.75,0.469273743,2.517766497,2.547263682,0.705202312,1,1,1.430051813,2.761904762
172,1.563451777,0.75,0.475138122,2.517766497,2.553398058,0.701149425,1,1,1.430051813,2.761904762
173,1.563451777,0.751219512,0.475138122,2.517766497,2.550724638,0.697142857,1,1,1.430051813,2.761904762
174,1.56,0.751219512,0.475138122,2.517766497,2.550724638,0.697142857,1,1,1.425641026,2.764397906
175,1.56,0.75,0.472527473,2.52,2.550724638,0.697142857,1,1,1.425641026,2.764397906
176,1.575609756,0.75,0.472527473,2.524752475,2.548076923,0.693181818,1,1,1.421319797,2.764397906
177,1.577669903,0.744075829,0.472527473,2.524752475,2.548076923,0.693181818,1,1,1.43718593,2.764397906
178,1.56937799,0.742990654,0.469945355,2.526829268,2.545454545,0.689265537,1,1,1.432835821,2.766839378
179,1.58490566,0.744186047,0.464864865,2.52173913,2.544600939,0.681564246,1,1,1.440594059,2.768041237
180,1.58490566,0.740740741,0.464864865,2.526315789,2.544600939,0.681564246,1,1,1.436893204,2.765306122
181,1.58685446,0.740740741,0.462365591,2.528301887,2.542056075,0.677777778,1,1,1.444444444,2.766497462
182,1.588785047,0.737327189,0.459893048,2.530232558,2.541666667,0.686813187,1,1,1.43062201,2.75879397
183,1.592592593,0.736363636,0.455026455,2.529680365,2.541666667,0.686813187,1,1,1.433962264,2.76
184,1.587155963,0.72972973,0.452631579,2.527272727,2.541666667,0.686813187,1,1,1.416666667,2.752475248
185,1.587155963,0.732142857,0.452631579,2.531531532,2.541666667,0.690217391,1,1,1.416666667,2.752475248
186,1.581818182,0.736842105,0.455958549,2.529147982,2.543778802,0.702702703,1,1,1.416666667,2.754901961
187,1.581081081,0.739130435,0.455958549,2.529147982,2.547945205,0.702702703,1,1,1.416666667,2.754901961
188,1.584821429,0.737068966,0.455958549,2.529147982,2.545454545,0.698924731,1,1,1.423963134,2.756097561
