,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
65,2.08,2.163934426,1.333333333,1.593220339,1.379746835,1.662162162,3,3,0.989795918,1.333333333
66,2.078947368,2.129032258,1.333333333,1.593220339,1.3875,1.662162162,3,3,0.99009901,1.333333333
67,2.078947368,2.15625,1.3125,1.6,1.37804878,1.64,3,3,0.99047619,1.328125
68,2.050632911,2.123076923,1.3125,1.6,1.385542169,1.64,3,3,0.990566038,1.328125
69,2.050632911,2.123076923,1.3125,1.6,1.385542169,1.64,3,3,0.990740741,1.323076923
70,2.048192771,2.149253731,1.3125,1.580645161,1.385542169,1.618421053,3,3,0.990825688,1.333333333
71,2.048192771,2.149253731,1.3125,1.545454545,1.38372093,1.618421053,3,3,0.982142857,1.333333333
72,2.048192771,2.173913043,1.292307692,1.552238806,1.38372093,1.576923077,3,3,0.982142857,1.328358209
73,2.048192771,2.173913043,1.292307692,1.552238806,1.397727273,1.576923077,3,3,0.982300885,1.323529412
74,2.048192771,2.197183099,1.292307692,1.536231884,1.397727273,1.5375,3,3,0.98245614,1.314285714
75,2.05952381,2.208333333,1.292307692,1.536231884,1.402173913,1.573170732,3,3,0.982758621,1.314285714
76,2.070588235,2.219178082,1.292307692,1.536231884,1.402173913,1.573170732,3,3,0.983333333,1.314285714
77,2.090909091,2.210526316,1.391304348,1.521126761,1.402173913,1.607142857,3,3,0.983333333,1.314285714
78,2.090909091,2.210526316,1.391304348,1.493333333,1.402173913,1.588235294,3,3,0.983606557,1.314285714
79,2.090909091,2.210526316,1.391304348,1.493333333,1.408602151,1.551724138,3,3,0.983606557,1.314285714
80,2.111111111,2.230769231,1.436619718,1.480519481,1.421052632,1.551724138,3,3,0.983606557,1.314285714
81,2.10989011,2.202531646,1.416666667,1.487179487,1.412371134,1.516853933,3,3,0.983606557,1.323943662
82,2.138297872,2.2125,1.44,1.493670886,1.424242424,1.549450549,3,3,0.975609756,1.323943662
83,2.091836735,2.2125,1.461538462,1.487804878,1.424242424,1.516129032,3,3,0.975609756,1.319444444
84,2.11,2.231707317,1.461538462,1.487804878,1.435643564,1.53125,3,3,0.975806452,1.310810811
85,2.108910891,2.24137931,1.5,1.487804878,1.441176471,1.53125,3,3,0.975806452,1.311688312
86,2.108910891,2.24137931,1.571428571,1.476190476,1.441176471,1.515463918,3,3,0.968,1.311688312
87,2.126213592,2.24137931,1.552941176,1.482352941,1.446601942,1.515463918,3,3,0.968,1.320512821
88,2.121495327,2.258426966,1.534883721,1.488372093,1.446601942,1.545454545,3,3,0.96031746,1.316455696
89,2.12962963,2.266666667,1.517241379,1.494252874,1.446601942,1.54,3,3,0.960629921,1.316455696
90,2.109090909,2.266666667,1.517241379,1.494252874,1.433962264,1.524752475,3,3,0.96124031,1.3125
91,2.089285714,2.266666667,1.5,1.5,1.431192661,1.524752475,3,3,0.961538462,1.304878049
92,2.089285714,2.266666667,1.565217391,1.47826087,1.431192661,1.524752475,3,3,0.961538462,1.294117647
93,2.089285714,2.266666667,1.565217391,1.47826087,1.431192661,1.495145631,3,3,0.992481203,1.290697674
94,2.07826087,2.290322581,1.548387097,1.483870968,1.441441441,1.495145631,3,3,0.992537313,1.290697674
95,2.07826087,2.305263158,1.548387097,1.483870968,1.441441441,1.476190476,3,3,0.992537313,1.290697674
96,2.086206897,2.3125,1.548387097,1.483870968,1.442477876,1.476190476,3,3,0.992537313,1.298850575
97,2.085470085,2.303030303,1.548387097,1.473684211,1.442477876,1.476190476,3,3,0.985185185,1.295454545
98,2.100840336,2.316831683,1.548387097,1.473684211,1.434782609,1.462264151,3,3,0.985294118,1.296703297
99,2.090163934,2.323529412,1.548387097,1.473684211,1.439655172,1.448598131,3,3,0.97810219,1.296703297
100,2.090163934,2.323529412,1.531914894,1.479166667,1.444444444,1.431192661,3,3,0.97810219,1.293478261
101,2.10483871,2.323529412,1.515789474,1.484536082,1.445378151,1.431192661,3,3,0.97826087,1.287234043
102,2.10483871,2.323529412,1.515789474,1.484536082,1.445378151,1.446428571,3,3,0.97826087,1.287234043
103,2.104,2.300970874,1.5,1.489795918,1.45,1.446428571,3,3,0.97826087,1.287234043
104,2.103174603,2.29245283,1.484536082,1.494949495,1.45,1.433628319,3,3,0.97826087,1.287234043
105,2.103174603,2.305555556,1.484536082,1.494949495,1.454545455,1.433628319,3,3,0.978873239,1.28125
106,2.103174603,2.318181818,1.544554455,1.494949495,1.454545455,1.433628319,3,3,0.978873239,1.28125
107,2.103174603,2.330357143,1.544554455,1.475728155,1.447154472,1.429824561,3,3,0.979166667,1.28125
108,2.092307692,2.315789474,1.544554455,1.475728155,1.443548387,1.417391304,3,3,0.979166667,1.28125
109,2.092307692,2.315789474,1.557692308,1.471698113,1.434108527,1.417391304,3,3,0.979452055,1.28125
110,2.099236641,2.333333333,1.542857143,1.476635514,1.434108527,1.405172414,3,3,0.979452055,1.278350515
